12:27:28.319 main INFO ShTP REST API Started
15:15:46.481 main INFO ShTP REST API Started
15:16:31.780 main INFO ShTP REST API Started
15:17:47.47 main INFO ShTP REST API Started
15:18:28.530 main INFO ShTP REST API Started
15:18:57.412 main INFO ShTP REST API Started
15:19:12.718 main INFO ShTP REST API Started
15:19:47.639 main INFO ShTP REST API Started
15:19:52.439 main INFO ShTP REST API Started
15:20:49.930 main INFO ShTP REST API Started
15:20:53.626 main INFO ShTP REST API Started
15:22:32.843 main INFO ShTP REST API Started
15:25:13.320 main INFO ShTP REST API Started
15:25:26.438 main INFO ShTP REST API Started
15:27:20.330 main INFO ShTP REST API Started
15:27:31.665 main INFO ShTP REST API Started
15:27:36.159 main INFO ShTP REST API Started
15:27:59.88 main INFO ShTP REST API Started 
15:28:08.762 main INFO ShTP REST API Started; By: 
15:28:12.942 main INFO ShTP REST API Started; By: 
15:28:17.95 main INFO ShTP REST API Started; By: root
15:28:21.214 main INFO ShTP REST API Started; By: root
15:28:25.422 main INFO ShTP REST API Started; By: root
15:28:26.451 main INFO ShTP REST API Started; By: root
15:28:31.53 main INFO ShTP REST API Started; By: root
15:28:31.753 main INFO ShTP REST API Started; By: root
15:28:39.461 main INFO ShTP REST API Started; By: root
15:28:43.935 main INFO ShTP REST API Started; By: root
15:39:09.717 main INFO ShTP REST API Started; By: root
15:39:25.179 main INFO ShTP REST API Started; By: root
15:39:35.220 users INFO Update user: None with new data: {'uuid': None, 'aboutText': None, 'nickName': None, 'socialLinks': {'github': 'ret7020', 'telegram': 'Rtyrdv', 'stepik': None, 'kaggle': None, 'website': 'https://some-shit.shit'}, 'techStack': None, 'password': None, 'admin': None}; By: 3ae26583-47a5-486b-a3ed-8426bcb69c83
15:39:52.505 users INFO Update user: None with new data: {'uuid': None, 'aboutText': None, 'nickName': None, 'socialLinks': None, 'techStack': None, 'password': {'currentPassword': '12345', 'newPassword': '12345', 'confirmPassword': '12345'}, 'admin': None}; By: 3ae26583-47a5-486b-a3ed-8426bcb69c83
15:40:11.138 main INFO ShTP REST API Started; By: root
16:48:43.888 main INFO ShTP REST API Started; By: root
22:52:30.784 main INFO ShTP REST API Started; By: root
22:54:20.522 users INFO Create user with uuid: 64faa1b4-45ba-4c85-9681-00b1620ede12; By: 3fb01e93-368f-468f-80d8-d7d8f3bdf1fb
23:13:22.684 main INFO ShTP REST API Started; By: root
23:14:00.311 main INFO ShTP REST API Started; By: root
23:19:42.410 main INFO ShTP REST API Started; By: root
23:21:24.879 main INFO ShTP REST API Started; By: root
23:21:48.18 main INFO ShTP REST API Started; By: root
23:21:53.484 main INFO ShTP REST API Started; By: root
23:32:11.951 main INFO ShTP REST API Started; By: root
23:33:07.143 main INFO ShTP REST API Started; By: root
23:33:14.108 main INFO ShTP REST API Started; By: root
23:33:38.61 main INFO ShTP REST API Started; By: root
23:33:59.928 main INFO ShTP REST API Started; By: root
23:36:11.414 main INFO ShTP REST API Started; By: root
23:36:19.760 main INFO ShTP REST API Started; By: root
23:39:04.572 main INFO ShTP REST API Started; By: root
00:16:41.236 main INFO ShTP REST API Started; By: root
00:16:58.469 main INFO ShTP REST API Started; By: root
00:17:00.76 main INFO ShTP REST API Started; By: root
00:17:28.89 main INFO ShTP REST API Started; By: root
00:19:39.777 main INFO ShTP REST API Started; By: root
00:33:56.525 main INFO ShTP REST API Started; By: root
00:34:42.587 main INFO ShTP REST API Started; By: root
00:34:46.208 main INFO ShTP REST API Started; By: root
00:34:53.835 main INFO ShTP REST API Started; By: root
00:35:55.822 main INFO ShTP REST API Started; By: root
00:36:13.116 main INFO ShTP REST API Started; By: root
00:36:19.580 main INFO ShTP REST API Started; By: root
00:36:32.784 main INFO ShTP REST API Started; By: root
00:37:10.848 main INFO ShTP REST API Started; By: root
00:37:35.873 main INFO ShTP REST API Started; By: root
00:37:51.345 main INFO ShTP REST API Started; By: root
00:37:54.758 main INFO ShTP REST API Started; By: root
00:37:58.549 main INFO ShTP REST API Started; By: root
00:38:10.875 main INFO ShTP REST API Started; By: root
00:38:48.501 main INFO ShTP REST API Started; By: root
00:39:07.878 main INFO ShTP REST API Started; By: root
00:39:30.495 main INFO ShTP REST API Started; By: root
00:39:34.591 main INFO ShTP REST API Started; By: root
00:39:39.994 main INFO ShTP REST API Started; By: root
00:39:55.824 main INFO ShTP REST API Started; By: root
00:40:10.461 main INFO ShTP REST API Started; By: root
00:40:31.340 main INFO ShTP REST API Started; By: root
00:40:40.116 main INFO ShTP REST API Started; By: root
00:40:48.186 main INFO ShTP REST API Started; By: root
00:40:52.55 main INFO ShTP REST API Started; By: root
00:40:59.189 main INFO ShTP REST API Started; By: root
00:41:11.42 main INFO ShTP REST API Started; By: root
00:41:12.255 main INFO ShTP REST API Started; By: root
00:41:18.658 main INFO ShTP REST API Started; By: root
00:41:29.663 main INFO ShTP REST API Started; By: root
00:41:34.191 main INFO ShTP REST API Started; By: root
00:41:46.696 main INFO ShTP REST API Started; By: root
11:30:21.344 main INFO ShTP REST API Started; By: root
11:31:13.145 users INFO Update user: None with new data: {'uuid': None, 'aboutText': 'Aboba', 'nickName': None, 'socialLinks': None, 'techStack': None, 'password': None, 'admin': None}; By: 3fb01e93-368f-468f-80d8-d7d8f3bdf1fb
11:35:43.914 main INFO ShTP REST API Started; By: root
11:45:43.101 main INFO ShTP REST API Started; By: root
11:45:59.323 main INFO ShTP REST API Started; By: root
11:46:05.87 main INFO ShTP REST API Started; By: root
11:46:22.800 main INFO ShTP REST API Started; By: root
11:49:16.201 main INFO ShTP REST API Started; By: root
11:49:21.271 main INFO ShTP REST API Started; By: root
11:49:25.397 main INFO ShTP REST API Started; By: root
11:49:28.841 main INFO ShTP REST API Started; By: root
11:49:34.492 main INFO ShTP REST API Started; By: root
11:49:36.171 main INFO ShTP REST API Started; By: root
11:49:40.57 main INFO ShTP REST API Started; By: root
11:54:34.735 main INFO ShTP REST API Started; By: root
11:57:05.832 main INFO ShTP REST API Started; By: root
11:57:19.971 main INFO ShTP REST API Started; By: root
11:58:03.440 main INFO ShTP REST API Started; By: root
11:59:30.915 main INFO ShTP REST API Started; By: root
11:59:37.1 main INFO ShTP REST API Started; By: root
11:59:55.23 main INFO ShTP REST API Started; By: root
12:00:06.763 main INFO ShTP REST API Started; By: root
12:00:33.440 main INFO ShTP REST API Started; By: root
12:00:38.325 main INFO ShTP REST API Started; By: root
12:00:58.863 main INFO ShTP REST API Started; By: root
12:01:37.997 main INFO ShTP REST API Started; By: root
12:01:51.835 main INFO ShTP REST API Started; By: root
12:04:04.524 main INFO ShTP REST API Started; By: root
12:10:22.2 main INFO ShTP REST API Started; By: root
12:12:05.133 main INFO ShTP REST API Started; By: root
12:12:10.171 main INFO ShTP REST API Started; By: root
12:12:15.463 main INFO ShTP REST API Started; By: root
12:12:24.806 main INFO ShTP REST API Started; By: root
12:13:04.75 main INFO ShTP REST API Started; By: root
12:15:51.717 main INFO ShTP REST API Started; By: root
12:16:50.604 main INFO ShTP REST API Started; By: root
12:16:56.927 main INFO ShTP REST API Started; By: root
12:17:05.406 main INFO ShTP REST API Started; By: root
12:17:29.41 main INFO ShTP REST API Started; By: root
12:20:54.567 main INFO ShTP REST API Started; By: root
12:20:58.633 main INFO ShTP REST API Started; By: root
12:21:08.224 main INFO ShTP REST API Started; By: root
12:21:32.477 main INFO ShTP REST API Started; By: root
12:21:39.628 main INFO ShTP REST API Started; By: root
12:21:57.833 main INFO ShTP REST API Started; By: root
12:22:20.345 main INFO ShTP REST API Started; By: root
12:22:31.353 main INFO ShTP REST API Started; By: root
12:22:43.901 main INFO ShTP REST API Started; By: root
12:22:56.104 main INFO ShTP REST API Started; By: root
12:23:04.586 main INFO ShTP REST API Started; By: root
12:23:13.620 main INFO ShTP REST API Started; By: root
12:23:17.449 main INFO ShTP REST API Started; By: root
12:26:32.660 main INFO ShTP REST API Started; By: root
12:26:35.19 main INFO ShTP REST API Started; By: root
13:01:06.354 main INFO ShTP REST API Started; By: root
13:01:13.959 main INFO ShTP REST API Started; By: root
13:01:34.31 main INFO ShTP REST API Started; By: root
13:01:41.583 main INFO ShTP REST API Started; By: root
13:01:55.983 main INFO ShTP REST API Started; By: root
13:02:04.265 main INFO ShTP REST API Started; By: root
13:02:07.526 main INFO ShTP REST API Started; By: root
13:05:18.6 main INFO ShTP REST API Started; By: root
13:05:51.314 main INFO ShTP REST API Started; By: root
13:05:58.104 main INFO ShTP REST API Started; By: root
13:07:32.725 main INFO ShTP REST API Started; By: root
13:09:15.698 main INFO ShTP REST API Started; By: root
13:09:18.756 main INFO ShTP REST API Started; By: root
13:09:33.889 main INFO ShTP REST API Started; By: root
13:09:51.711 main INFO ShTP REST API Started; By: root
13:10:30.433 main INFO ShTP REST API Started; By: root
13:11:08.669 main INFO ShTP REST API Started; By: root
13:11:14.78 main INFO ShTP REST API Started; By: root
13:11:17.947 main INFO ShTP REST API Started; By: root
13:13:08.823 main INFO ShTP REST API Started; By: root
13:13:18.764 main INFO ShTP REST API Started; By: root
13:15:04.292 main INFO ShTP REST API Started; By: root
13:15:34.172 main INFO ShTP REST API Started; By: root
13:19:40.891 main INFO ShTP REST API Started; By: root
13:19:51.589 main INFO ShTP REST API Started; By: root
13:20:38.23 main INFO ShTP REST API Started; By: root
13:20:47.208 main INFO ShTP REST API Started; By: root
13:21:57.417 main INFO ShTP REST API Started; By: root
13:23:25.343 main INFO ShTP REST API Started; By: root
13:23:55.450 main INFO ShTP REST API Started; By: root
13:33:06.432 main INFO ShTP REST API Started; By: root
13:33:33.862 main INFO ShTP REST API Started; By: root
13:34:53.926 main INFO ShTP REST API Started; By: root
13:35:44.368 users INFO Create user with uuid: 6d0fa49b-5963-48b2-8646-7393a42e6619; By: 3fb01e93-368f-468f-80d8-d7d8f3bdf1fb
13:57:04.97 main INFO ShTP REST API Started; By: root
13:59:11.680 main INFO ShTP REST API Started; By: root
13:59:14.29 main INFO ShTP REST API Started; By: root
13:59:39.336 main INFO ShTP REST API Started; By: root
13:59:57.611 main INFO ShTP REST API Started; By: root
14:00:52.361 main INFO ShTP REST API Started; By: root
14:00:59.684 main INFO ShTP REST API Started; By: root
14:01:11.673 main INFO ShTP REST API Started; By: root
14:02:44.309 main INFO ShTP REST API Started; By: root
14:03:04.594 main INFO ShTP REST API Started; By: root
14:03:19.390 main INFO ShTP REST API Started; By: root
14:03:21.383 main INFO ShTP REST API Started; By: root
14:03:36.225 main INFO ShTP REST API Started; By: root
14:04:20.340 main INFO ShTP REST API Started; By: root
14:04:23.761 main INFO ShTP REST API Started; By: root
14:13:18.997 main INFO ShTP REST API Started; By: root
